Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Total Sets,Total Reps,Media
18483630003,"May 12, 2026, 9:40:11 PM",Afternoon Swim,Swim,"",2982,"1,600",147.0,9,false,,,activities/19588947806.fit.gz,,,2982.0,1852.0,1600.0,1.0,0.864,0.0,0.0,0.0,0.0,0.0,0.0,,,38.0,34.0,147.0,103.0,,,238.0,,28.0,9.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.537,0.0,,,,,0.0,50.0,,,,,,,,,,,,,,,""
18470512907,"May 11, 2026, 10:36:10 PM",Evening Run,Run,"",2576,8.05,162.0,15,false,,On Cloudmonster 2 white & blue 🩵,activities/19575745457.fit.gz,,,2576.0,2548.0,8055.0,4.7,3.161,124.0,131.0,156.0,181.0,20.0,-0.1,,,91.0,80.0,162.0,136.0,,217.0,469.0,,,15.0,,,,,,,,,219.0,2577.0,,,0.0,,1.0,8459.4,1778536800.0,1.0,22.9,23.6,4.4,0.3,1020.1,2.6,5.4,301.0,0.0,1778495765.0,1778546627.0,0.875,,25669839.0,0.0,1.0,0.22,54296.8,2.0,,,,,,3.127,0.0,,,,6856.0,0.0,,255.0,189.0,3.32,,,,,,,,,,,,""
18453562796,"May 10, 2026, 1:43:04 PM",Morning Run,Run,"",3141,10.47,167.0,39,false,,On Cloudmonster 2 white & blue 🩵,activities/19558629235.fit.gz,,,3141.0,2995.0,10477.9,4.5,3.498,59.0,54.0,130.0,158.0,18.2,0.1,,,88.0,82.0,167.0,146.0,,236.0,610.0,,,39.0,,,,,,,,,233.0,3143.0,,,0.0,,1.0,10681.0,1778418000.0,1.0,17.5,19.5,12.0,0.7,1014.7,1.2,2.8,285.0,0.0,1778409382.0,1778460161.0,0.75,,25669839.0,0.31,1.0,0.27,25960.3,1.0,,,,,,3.336,2688.0,,,,8202.0,0.0,,352.0,201.0,3.566,,,,,,,,,,,,""
18445072566,"May 9, 2026, 10:34:03 PM",Afternoon Ride,Ride,,2556,14.82,,,false,,🩵,activities/18445072566.fit,,6.804,2556.0,2354.0,14823.0,9.5,6.297,101.8,321.0,135.6,170.6,11.1,-0.1,,,,,,,,99.0,259.0,,,,,,,,,,,,,,,,0.0,,1.0,,1778364000.0,1.0,24.3,25.2,10.9,0.43,1009.1,3.7,6.9,242.0,0.0,1778323085.0,1778373716.0,0.625,17521074.0,,0.0,1.0,0.02,44045.8,2.0,,,,,,5.799,108.4,,,,,0.0,,,,,,,,,,,,,,,,""
18444989419,"May 9, 2026, 9:16:46 PM",Afternoon Ride,Ride,"",4634,21.61,156.0,16,false,,🩵,activities/19549924916.fit.gz,,6.804,4634.0,3855.0,21617.0,9.5,5.608,212.0,206.0,141.0,229.2,14.3,0.1,,,,,156.0,119.0,,86.0,554.0,,,16.0,0.0,,,,,,,,,,,,0.0,,1.0,,1778360400.0,1.0,24.4,25.1,10.6,0.42,1007.7,3.9,5.4,245.0,0.0,1778323060.0,1778373722.0,0.625,17521074.0,,0.0,1.0,0.01,44194.4,4.0,,,,,,4.665,36.5,,,,,0.0,,,,,,,,,,,,,,,,""
18418301349,"May 7, 2026, 9:29:23 PM",Afternoon Run,Run,"",3362,10.47,158.0,19,false,,On Cloudmonster 2 white & blue 🩵,activities/19522947905.fit.gz,,,3362.0,3092.0,10475.0,4.7,3.388,78.0,79.0,129.0,161.0,15.4,-0.1,,,89.0,81.0,158.0,137.0,,228.0,566.0,,,19.0,,,,,,,,,220.0,3364.0,,,0.0,,1.0,10707.7,1778187600.0,1.0,17.1,16.7,1.5,0.35,1015.3,3.5,6.0,321.0,0.0,1778150367.0,1778200794.0,0.625,,25669839.0,0.0,1.0,0.18,52932.2,3.0,,,,,,3.116,787.0,,,,8396.0,0.0,,336.0,190.0,3.463,,,,,,,,,,,,""
18402603688,"May 6, 2026, 5:14:17 PM",Afternoon Swim,Swim,"",2803,"2,286",141.0,8,false,,,activities/19507143256.fit.gz,,,2803.0,2668.0,2286.0,0.96,0.857,0.0,0.0,0.0,0.0,0.0,0.0,,,37.0,31.0,141.0,104.0,,,344.0,,28.0,8.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.816,0.0,,,,,0.0,25.0,,,,,,0.0,0.0,,,,0.0,,,,""
18391787183,"May 5, 2026, 8:37:10 PM",Afternoon Run,Run,"",3594,11.27,166.0,39,false,,On Cloudmonster 2 white & blue 🩵,activities/19496235622.fit.gz,,,3594.0,3329.0,11269.0,4.6,3.385,143.0,139.0,143.0,169.0,15.4,0.0,,,90.0,81.0,166.0,145.0,,230.0,660.0,,,39.0,,,,,,,,,227.0,3568.0,,,0.0,,1.0,11641.4,1778011200.0,5.0,18.6,15.6,14.3,0.76,1008.7,4.5,9.6,216.0,0.3,1777977737.0,1778027903.0,0.625,,25669839.0,0.96,5.0,0.99,22076.8,3.0,,,,,,3.136,0.0,,,,9130.0,0.0,,380.0,196.0,3.497,,,,,,,,,,,,""
18377796752,"May 4, 2026, 9:30:40 PM",Afternoon Run,Run,"",2530,7.25,161.0,22,false,,On Cloudmonster 2 white & blue 🩵,activities/19482147898.fit.gz,,,2530.0,2186.0,7258.0,4.6,3.32,53.0,51.0,130.0,153.0,10.0,0.0,,,84.0,81.0,161.0,140.0,,223.0,416.0,,,22.0,,,,,,,,,214.0,2474.0,,,0.0,,1.0,7412.6,1777928400.0,3.0,24.1,21.6,13.3,0.51,1008.1,6.1,12.3,227.0,0.0,1777891370.0,1777941433.0,0.625,,25669839.0,0.82,5.0,0.8,40789.2,2.0,,,,,,2.869,541.7,,,,5932.0,0.0,,233.0,184.0,3.391,,,,,,,,,,,,""
18348624283,"May 2, 2026, 2:35:46 PM",Morning Run,Run,"",3375,9.92,151.0,16,false,,On Cloudmonster 2 white & blue 🩵,activities/19452600479.fit.gz,,,3375.0,2969.0,9921.0,4.7,3.342,37.0,37.0,130.0,151.0,10.0,0.0,,,90.0,82.0,151.0,137.0,,224.0,538.0,,,16.0,,,,,,,,,215.0,3377.0,,,0.0,,1.0,10036.2,1777730400.0,3.0,9.3,8.8,3.1,0.65,1019.7,1.5,2.6,10.0,0.0,1777718724.0,1777768531.0,0.625,,25669839.0,0.0,1.0,0.84,28088.8,2.0,,,,,,2.94,255.0,,,,8136.0,0.0,,321.0,185.0,3.38,,,,,,,,,,,,""
