day,action,trimp,ctl,atl,tsb
1,12.0km @ 4.00min/km +150m,88.9,13.81,23.1,-9.29
2,12.0km @ 4.00min/km +150m,88.9,15.58,31.86,-16.28
3,rest,0.0,15.21,27.62,-12.41
4,6.0km @ 4.00min/km +150m,42.8,15.86,29.63,-13.78
5,rest,0.0,15.48,25.69,-10.2
6,6.0km @ 4.00min/km +150m,42.8,16.13,27.96,-11.83
7,rest,0.0,15.75,24.24,-8.49
8,12.0km @ 4.00min/km +150m,88.9,17.47,32.84,-15.38
9,rest,0.0,17.06,28.47,-11.42
10,6.0km @ 4.00min/km +150m,42.8,17.66,30.37,-12.71
11,12.0km @ 4.00min/km +150m,88.9,19.34,38.16,-18.83
12,rest,0.0,18.88,33.08,-14.2
13,6.0km @ 4.00min/km +150m,42.8,19.44,34.37,-14.93
14,6.0km @ 4.00min/km +150m,42.8,19.99,35.48,-15.49
15,rest,0.0,19.52,30.76,-11.24
16,12.0km @ 4.00min/km +150m,88.9,21.15,38.5,-17.35
17,rest,0.0,20.66,33.37,-12.72
18,6.0km @ 4.00min/km +150m,42.8,21.18,34.62,-13.45
19,rest,0.0,20.68,30.01,-9.34
20,6.0km @ 4.00min/km +150m,42.8,21.2,31.71,-10.51
21,rest,0.0,20.7,27.49,-6.79
22,6.0km @ 4.00min/km +150m,42.8,21.22,29.52,-8.3
23,rest,0.0,20.72,25.59,-4.87
24,6.0km @ 4.00min/km +150m,42.8,21.24,27.87,-6.64
25,rest,0.0,20.74,24.16,-3.43
26,6.0km @ 4.00min/km +150m,42.8,21.25,26.64,-5.38
27,rest,0.0,20.75,23.09,-2.34
28,6.0km @ 4.00min/km +150m,42.8,21.27,25.71,-4.44
29,rest,0.0,20.77,22.29,-1.52
30,6.0km @ 4.00min/km +150m,42.8,21.29,25.01,-3.72
31,rest,0.0,20.79,21.68,-0.89
32,6.0km @ 4.00min/km +150m,42.8,21.3,24.49,-3.18
33,rest,0.0,20.8,21.23,-0.42
34,6.0km @ 4.00min/km +150m,42.8,21.32,24.09,-2.77
35,rest,0.0,20.82,20.88,-0.07
36,6.0km @ 4.00min/km +150m,42.8,21.33,23.8,-2.46
37,rest,0.0,20.83,20.63,0.2
38,6.0km @ 4.00min/km +150m,42.8,21.35,23.57,-2.23
39,rest,0.0,20.85,20.43,0.41
40,6.0km @ 4.00min/km +150m,42.8,21.36,23.41,-2.05
41,rest,0.0,20.86,20.29,0.57
42,6.0km @ 4.00min/km +150m,42.8,21.37,23.28,-1.91
43,rest,0.0,20.87,20.18,0.69
44,6.0km @ 4.00min/km +150m,42.8,21.39,23.19,-1.8
45,rest,0.0,20.88,20.1,0.78
46,6.0km @ 4.00min/km +150m,42.8,21.4,23.11,-1.72
47,rest,0.0,20.89,20.04,0.86
48,6.0km @ 4.00min/km +150m,42.8,21.41,23.06,-1.65
49,rest,0.0,20.9,19.99,0.91
50,6.0km @ 4.00min/km +150m,42.8,21.42,23.02,-1.6
51,rest,0.0,20.91,19.96,0.96
52,6.0km @ 4.00min/km +150m,42.8,21.43,22.99,-1.56
53,rest,0.0,20.92,19.93,0.99
54,6.0km @ 4.00min/km +150m,42.8,21.44,22.97,-1.53
55,rest,0.0,20.93,19.91,1.02
56,6.0km @ 4.00min/km +150m,42.8,21.45,22.95,-1.51
57,rest,0.0,20.94,19.9,1.05
58,6.0km @ 4.00min/km +150m,42.8,21.45,22.94,-1.48
59,rest,0.0,20.95,19.88,1.06
60,6.0km @ 4.00min/km +150m,42.8,21.46,22.93,-1.47
61,rest,0.0,20.96,19.88,1.08
62,6.0km @ 4.00min/km +150m,42.8,21.47,22.92,-1.45
63,rest,0.0,20.97,19.87,1.1
64,6.0km @ 4.00min/km +150m,42.8,21.48,22.92,-1.44
65,rest,0.0,20.97,19.87,1.11
66,6.0km @ 4.00min/km +150m,42.8,21.48,22.91,-1.43
67,rest,0.0,20.98,19.86,1.12
68,6.0km @ 4.00min/km +150m,42.8,21.49,22.91,-1.42
69,rest,0.0,20.99,19.86,1.13
70,6.0km @ 4.00min/km +150m,42.8,21.5,22.91,-1.41
71,rest,0.0,20.99,19.86,1.13
72,6.0km @ 4.00min/km +150m,42.8,21.5,22.9,-1.4
73,12.0km @ 4.00min/km +150m,88.9,23.09,31.69,-8.6
